Leq( Avg),total vehicles,2W,3W,4w,HV,Distance of residents from the road,Age,Health Hazards,,,,,,,,,,,
80.18,612,420,65,106,21,7.24,4,3,,,,,,,,,,,
80.8,591,395,47,127,22,16.08,3,5,,,,,,,,,,,
82.6,770,554,38,152,26,19.2,2,3,,,,,,,,,,,
78.11,793,598,52,123,20,124.43,3,4,,,,,,,,,,,
78.1,701,509,55,121,16,115.43,2,1,,,,,,,,,,,
80.18,800,606,45,122,27,120.74,3,2,,,,,,,,,,,
78.103,756,517,67,158,14,478,4,5,,,,,,,,,,,
82.5,796,615,49,117,15,912,3,4,,,,,,,,,,,
80.58,764,560,40,141,23,279.06,2,1,,,,,,,,,,,
96.1,750,591,54,81,24,93.12,2,2,,,,,,,,,,,
94.2,773,612,57,80,24,654.35,2,5,,,,,,,,,,,
90.4,728,557,47,105,19,35.72,4,2,,,,,,,,,,,
81.53,757,588,49,103,17,29.95,3,4,,,,,,,,,,,
78,802,586,71,122,23,10.72,2,5,,,,,,,,,,,
82.6,843,601,50,166,26,15.54,2,2,,,,,,,,,,,
95.2,718,512,72,112,22,278,3,5,,,,,,,,,,,
76.5,823,610,54,133,26,141,2,5,,,,,,,,,,,
81.53,802,555,67,158,22,278.13,3,4,,,,,,,,,,,
80.58,801,586,49,142,24,92.19,4,2,,,,,,,,,,,
86.2,812,607,40,147,18,653.42,3,5,,,,,,,,,,,
82.92,769,552,54,148,15,34.79,3,5,,,,,,,,,,,
79.93,774,583,57,110,24,29.02,5,5,,,,,,,,,,,
94.1,778,581,47,137,13,8.82,1,1,,,,,,,,,,,
80.58,724,555,69,77,23,14.61,2,4,,,,,,,,,,,
84.8,748,599,51,76,22,17.73,2,5,,,,,,,,,,,
88.1,737,510,42,162,23,122.96,2,4,,,,,,,,,,,
80.6,796,608,56,106,26,113.96,2,1,,,,,,,,,,,
82.63,707,553,59,73,22,119.27,3,5,,,,,,,,,,,
84.7,777,584,62,107,24,325,1,5,,,,,,,,,,,
90.4,611,414,52,127,18,547,2,5,,,,,,,,,,,
95.15,571,389,54,113,15,277.59,3,4,,,,,,,,,,,
81.2,815,548,76,167,24,91.65,4,2,,,,,,,,,,,
80.8,771,592,55,111,13,652.88,3,1,,,,,,,,,,,
80.2,744,503,77,142,22,279.84,2,4,,,,,,,,,,,
82.3,831,600,59,147,25,93.9,4,2,,,,,,,,,,,
90.8,849,612,72,141,24,655.13,2,5,,,,,,,,,,,
82,771,557,54,136,24,36.5,3,5,,,,,,,,,,,
91,816,588,45,161,22,30.73,4,3,,,,,,,,,,,
87,609,418,59,115,17,7.48,3,5,,,,,,,,,,,
90,607,393,62,122,30,16.32,2,5,,,,,,,,,,,
92.1,773,552,52,136,33,19.44,2,2,,,,,,,,,,,
79.4,836,596,74,137,29,124.67,2,3,,,,,,,,,,,
83.4,745,507,60,145,33,115.67,4,5,,,,,,,,,,,
78.2,787,604,63,91,29,120.98,3,4,,,,,,,,,,,
88.8,711,515,53,112,31,736,3,2,,,,,,,,,,,
80.56,856,613,55,161,27,674,2,4,,,,,,,,,,,
79.6,767,558,77,110,22,279.3,2,3,,,,,,,,,,,
89.6,812,589,56,142,25,93.36,4,5,,,,,,,,,,,
87,786,610,78,77,21,654.59,2,5,,,,,,,,,,,
94.6,721,555,60,80,26,35.96,3,2,,,,,,,,,,,
91,783,586,73,105,19,30.19,3,3,,,,,,,,,,,
78.6,766,584,55,110,17,10.96,3,5,,,,,,,,,,,
83.15,773,599,46,105,23,15.78,4,3,,,,,,,,,,,
82.46,741,510,60,159,12,812,1,5,,,,,,,,,,,
84.3,806,608,63,112,23,741,2,4,,,,,,,,,,,
85.1,768,553,53,134,28,278.37,2,3,,,,,,,,,,,
78.34,821,584,75,139,23,92.43,2,4,,,,,,,,,,,
81.9,816,605,57,126,28,653.66,4,2,,,,,,,,,,,
81.2,750,550,48,131,21,35.03,3,5,,,,,,,,,,,
85.53,765,555,62,128,20,29.26,2,4,,,,,,,,,,,
84.9,801,586,65,133,17,9.06,2,5,,,,,,,,,,,
81.15,811,584,75,139,13,14.85,3,5,,,,,,,,,,,
81.9,732,558,54,97,23,17.97,2,4,,,,,,,,,,,
79.8,814,602,76,125,11,123.2,3,3,,,,,,,,,,,
87.4,672,513,58,81,20,114.2,4,5,,,,,,,,,,,
83.1,776,611,71,71,23,119.51,3,3,,,,,,,,,,,
80.6,771,556,53,142,20,578,3,3,,,,,,,,,,,
90.1,760,587,44,105,24,874,2,4,,,,,,,,,,,
88,583,417,58,90,18,277.83,2,3,,,,,,,,,,,
94.7,575,392,61,105,17,91.89,4,4,,,,,,,,,,,
91.4,741,551,51,115,24,653.12,2,3,,,,,,,,,,,
78.7,797,595,73,101,28,280.08,4,5,,,,,,,,,,,
97,738,506,55,150,27,94.14,3,2,,,,,,,,,,,
87.2,780,603,46,104,27,655.37,2,2,,,,,,,,,,,
94.4,712,514,60,111,27,36.74,2,5,,,,,,,,,,,
89,815,612,63,125,15,30.97,3,2,,,,,,,,,,,
78.7,772,557,72,119,24,7.72,5,3,,,,,,,,,,,
78.8,810,588,72,123,27,16.56,1,5,,,,,,,,,,,
76.2,594,400,54,114,26,19.68,2,5,,,,,,,,,,,
83.53,754,559,67,102,26,124.91,3,4,,,,,,,,,,,
78.56,789,603,49,113,24,115.91,4,2,,,,,,,,,,,
78.7,709,514,40,136,19,121.22,3,1,,,,,,,,,,,
80.9,795,611,54,98,32,788,2,4,,,,,,,,,,,
76.52,739,522,57,125,35,875,4,2,,,,,,,,,,,
77.12,763,620,47,65,31,279.54,2,5,,,,,,,,,,,
78.56,733,565,69,64,35,93.6,3,5,,,,,,,,,,,
77.12,841,596,70,144,31,654.83,4,3,,,,,,,,,,,
81.4,788,594,52,109,33,36.2,3,5,,,,,,,,,,,
79.15,771,591,43,108,29,30.43,2,5,,,,,,,,,,,
95,793,589,57,122,25,11.2,2,2,,,,,,,,,,,
91.1,768,563,60,117,28,16.02,2,3,,,,,,,,,,,
89,814,607,50,133,24,900,5,3,,,,,,,,,,,
83.4,848,601,72,142,33,197,3,5,,,,,,,,,,,
76.2,691,512,54,93,32,278.61,4,2,,,,,,,,,,,
78.2,814,610,45,129,30,92.67,3,2,,,,,,,,,,,
92.1,729,555,59,84,31,653.9,3,3,,,,,,,,,,,
75,818,590,74,125,29,35.27,2,5,,,,,,,,,,,
79.91,602,402,56,116,28,29.5,2,4,,,,,,,,,,,
79.15,762,561,69,104,28,9.3,2,3,,,,,,,,,,,
83,797,605,51,115,26,15.09,3,5,,,,,,,,,,,
81.14,717,516,42,138,21,18.21,4,3,,,,,,,,,,,
78.7,803,613,56,100,34,123.44,1,5,,,,,,,,,,,
92,747,524,59,127,37,114.44,2,4,,,,,,,,,,,
79.15,771,622,49,67,33,119.75,2,3,,,,,,,,,,,
85.4,741,567,71,66,37,12.5,2,4,,,,,,,,,,,
85.5,849,598,72,146,33,124,4,2,,,,,,,,,,,
79.2,796,596,54,111,35,278.07,3,5,,,,,,,,,,,
83.53,779,593,45,110,31,92.13,2,4,,,,,,,,,,,
82.9,801,591,59,124,27,653.36,2,5,,,,,,,,,,,
88,776,565,62,119,30,280.32,3,5,,,,,,,,,,,
92.72,822,609,52,135,26,94.38,2,4,,,,,,,,,,,
